,NCT Number,count,enrolled
640,NCT00690066,1,63
641,NCT04497805,1,64
642,NCT02772289,1,90
643,NCT02407470,1,90
644,NCT01652209,1,90
645,NCT04315987,1,90
646,NCT04466007,1,90
647,NCT04675970,1,86
648,NCT03521336,1,84
649,NCT02582775,1,84
650,NCT03676400,1,84
651,NCT02709343,1,82
652,NCT02890537,1,82
653,NCT02445547,1,82
654,NCT02633163,1,81
655,NCT05127122,1,81
656,NCT01720888,1,80
657,NCT01603836,1,80
658,NCT05402748,1,80
659,NCT03601234,1,80
660,NCT05126563,1,80
661,NCT05499156,1,80
662,NCT04034615,1,90
663,NCT01484574,1,90
664,NCT02666391,1,64
665,NCT02770430,1,90
666,NCT04074408,1,100
667,NCT00603330,1,100
668,NCT04650568,1,100
669,NCT01662973,1,100
670,NCT03067870,1,100
671,NCT02529566,1,100
672,NCT04174898,1,100
673,NCT02247973,1,100
674,NCT04042844,1,99
675,NCT00498316,1,98
676,NCT00543374,1,98
677,NCT03381326,1,94
678,NCT02789995,1,93
679,NCT04642911,1,91
680,NCT03473301,1,91
681,NCT04602442,1,90
682,NCT05182034,1,90
683,NCT04281797,1,90
684,NCT02462330,1,90
685,NCT04274543,1,80
686,NCT01157403,1,80
687,NCT02668068,1,80
688,NCT04194671,1,80
689,NCT01957826,1,70
690,NCT05027581,1,70
691,NCT01941394,1,70
692,NCT02587715,1,69
693,NCT02418325,1,69
694,NCT01552707,1,69
695,NCT01828957,1,69
696,NCT01529008,1,68
697,NCT04389450,1,66
698,NCT02883803,1,66
699,NCT05061030,1,66
700,NCT04345601,1,66
701,NCT02223897,1,66
702,NCT05308342,1,66
703,NCT03521323,1,66
704,NCT01589549,1,66
705,NCT01071577,1,65
706,NCT00768066,1,65
707,NCT02065245,1,65
708,NCT01218464,1,70
709,NCT02057965,1,70
710,NCT04629105,1,70
711,NCT05501418,1,75
712,NCT01803347,1,80
713,NCT03795649,1,80
714,NCT01392105,1,80
715,NCT00816803,1,80
716,NCT04314687,1,78
717,NCT05319106,1,76
718,NCT05167721,1,76
719,NCT02286128,1,75
720,NCT03379168,1,75
721,NCT04565665,1,70
722,NCT05464381,1,74
723,NCT02808208,1,74
724,NCT01233960,1,73
725,NCT01448434,1,72
726,NCT02962661,1,72
727,NCT01213186,1,72
728,NCT01875081,1,72
729,NCT03905824,1,70
730,NCT04276987,1,24
731,NCT02000362,1,24
732,NCT04326959,1,24
733,NCT04499105,1,10
734,NCT02855112,1,10
735,NCT02801890,1,10
736,NCT01687777,1,10
737,NCT04835883,1,10
738,NCT02570932,1,10
739,NCT00294112,1,10
740,NCT02396056,1,10
741,NCT05308836,1,10
742,NCT03386708,1,10
743,NCT04954534,1,9
744,NCT01297205,1,9
745,NCT04535856,1,9
746,NCT05162326,1,9
747,NCT03358654,1,9
748,NCT03265444,1,9
749,NCT04896853,1,9
750,NCT02421484,1,9
751,NCT01632475,1,9
752,NCT03751735,1,9
753,NCT02963727,1,10
754,NCT03356821,1,10
755,NCT04153630,1,9
756,NCT03181087,1,10
757,NCT04410731,1,10
758,NCT04056819,1,10
759,NCT01764100,1,10
760,NCT04657315,1,10
761,NCT04446897,1,10
762,NCT02057211,1,10
763,NCT02387749,1,10
764,NCT03055078,1,10
765,NCT02731586,1,10
766,NCT03562065,1,10
767,NCT01874015,1,10
768,NCT02215811,1,10
769,NCT04815213,1,10
770,NCT03797963,1,10
771,NCT00395200,1,10
772,NCT01322789,1,10
773,NCT03874572,1,10
774,NCT04173650,1,10
775,NCT02790762,1,10
776,NCT03357770,1,9
777,NCT03838666,1,9
778,NCT01914887,1,8
779,NCT00587990,1,9
780,NCT04466098,1,9
781,NCT04342325,1,9
782,NCT05094011,1,9
783,NCT01297972,1,9
784,NCT05491681,1,9
785,NCT01775774,1,9
786,NCT02398370,1,8
787,NCT01061879,1,8
788,NCT01532076,1,8
789,NCT03956719,1,8
790,NCT02495766,1,8
791,NCT01385644,1,8
792,NCT03855631,1,8
793,NCT01274975,1,8
794,NCT02622464,1,8
795,NCT03682315,1,8
796,NCT04495582,1,8
797,NCT02023788,1,8
798,NCT03392311,1,8
799,NCT03371329,1,9
800,NCT02580617,1,9
801,NCT02035514,1,9
802,NCT04097652,1,9
803,NCT02918123,1,9
804,NCT02603744,1,9
805,NCT02482194,1,9
806,NCT02013700,1,9
807,NCT04255147,1,9
808,NCT03183661,1,9
809,NCT00705120,1,9
810,NCT02945449,1,9
811,NCT05227846,1,9
812,NCT03631420,1,9
813,NCT04388982,1,9
814,NCT02307435,1,9
815,NCT01228266,1,9
816,NCT03800810,1,9
817,NCT04456361,1,9
818,NCT04206007,1,9
819,NCT02274428,1,9
820,NCT04971980,1,9
821,NCT01297218,1,9
